TIME;Swap_output;TIME;ZCB_Yield;Log_ZCB_Yield;INV_ZCB_Yield;TIME;ZCR_YC;Forward_YC;Fwd_ZCB_YC
0.08333333333;0.0011;0;1;0;1;0;0.001099999602;0.001099395443;1.00009162
0.1666666667;0.001100000398;0.08333333333;0.9999083879;9.161628694e-005;1.00009162;0.08333333333;0.0011;0.001099396239;1.000091621
0.25;0.0011;0.1666666667;0.9998167841;0.0001832326402;1.000183249;0.1666666667;0.001100000398;0.001099394648;1.00009162
0.3333333333;0.001099998525;0.25;0.9997251889;0.0002748488608;1.000274887;0.25;0.0011;0.00109938955;1.00009162
0.4166666667;0.001099997758;0.3333333333;0.9996336025;0.0003664646567;1.000366532;0.3333333333;0.001099998525;0.001099390139;1.00009162
0.5;0.0011;0.4166666667;0.9995420244;0.0004580805016;1.000458185;0.4166666667;0.001099997758;0.001099406641;1.000091621
0.5833333333;0.0011000066;0.5;0.9994504533;0.0005496977217;1.000549849;0.5;0.0011;0.001099441595;1.000091624
0.6666666667;0.001100015103;0.5833333333;0.9993588877;0.0006413178546;1.000641524;0.5833333333;0.0011000066;0.001099469986;1.000091627
0.75;0.001100022102;0.6666666667;0.9992673282;0.0007329403535;1.000733209;0.6666666667;0.001100015103;0.001099473449;1.000091627
0.8333333333;0.001100024189;0.75;0.9991757767;0.0008245631409;1.000824903;0.75;0.001100022102;0.001099438369;1.000091624
0.9166666667;0.001100017958;0.8333333333;0.9990842366;0.0009161830049;1.000916603;0.8333333333;0.001100024189;0.001099351133;1.000091617
1;0.0011;0.9166666667;0.9989927121;0.001007795599;1.001008304;0.9166666667;0.001100017958;0.001102824138;1.000091906
1.5;0.0010997515;1;0.9989009068;0.001099697611;1.001100303;1;0.0011003025;0.00110240906;1.000091872
2;0.0011;1.083333333;0.9988091446;0.001191565033;1.001192275;1.083333333;0.001100511303;0.001100588273;1.00009172
2.5;0.001101017893;1.166666667;0.9987175423;0.001283280722;1.001284104;1.166666667;0.001100560077;0.001098961315;1.000091584
3;0.0011;1.25;0.9986260839;0.001374860832;1.001375806;1.25;0.001100493765;0.001097707755;1.00009148
3.5;0.001094870514;1.333333333;0.9985347381;0.001466336478;1.001467412;1.333333333;0.001100357308;0.001097007162;1.000091421
4;0.00108954868;1.416666667;0.9984434589;0.001557753741;1.001558968;1.416666667;0.001100195648;0.001097039107;1.000091424
