TIME,DURATION_MONTH_BL_CH,IND_CONTRACT_PERIOD_BL_CH,IND_DEFERAL_PERIOD_BL_CH,IND_RATCHET_MONTH_BL_CH,IND_COUPON_DATE_BL_CH,IND_BONUS_VALUATION_DATE_BL_CH,IND_BONUS_PAYMENT_DATE_BL_CH,FUND_RETURN,DISCOUNT_FACTOR,YEAR_BL_CH,MONTH_BL_CH,DURATION_YEAR_BL_CH,DATE_YEAR_BL_CH,DATE_MONTH_BL_CH,ACCOUNT_VALUE_END_BL_CH,ACCOUNT_VALUE_BEF_COUPON_BL_CH,SURVIVAL_INDEX_STEP_BL_CH,SURVIVAL_INDEX_BL_CH,CLAIMS_WB_BL_CH,BASIS_KAPITAL_BL_CH,COUPON_VALUE_BL_CH,ADD_COUPON_RATCHET_BL_CH,PERFORMANCE_BONUS_VAL_BL_CH,BONUS_VAL_BL_CH,FUND_FEES_VAL_BL_CH,DYNAMIC_LAPSE_CH,ITM_VAL_BL_CH,LAPSE_VAL_BL_CH,HEDGE_COST_FEES_BL_CH,FIXED_CHARGE_VALUE_BL_CH,
0,11,1,1,1,0,0,0,0,1,0,0,0,0,0,94542.7661,0,1,1,0,96991.2,808.25,0,0,0,0,0,0,0,457.233900000007,0,
1,0,1,0,0,1,0,1,3.617724065613e-005,0.99985190172267,1,1,0,2015,9,93399.9679760637,94269.1665684522,0.99831785744726,0.99831785744726,0,96021.156566957,806.890408281748,0,0,0,118.178457625,0.00168214255273957,0.974756123235922,158.841370324246,62.3081841067803,0,
2,1,1,0,0,1,0,1,8.01937908153838e-005,0.999988355840482,1,2,0,2015,10,92266.6945756106,93133.7798436946,0.99831785744726,0.996638544498089,0,95054.1021899419,805.53310359058,0,0,0,116.74995997008,0.00168214255273957,0.972701968143182,156.928269893073,61.5521644934027,0,
3,2,1,0,0,1,0,1,0.000147537896686978,1.00022697223115,1,3,0,2015,11,91144.9574937666,92009.9394167358,0.99831785744726,0.994962056392688,0,94090.0295577563,804.17808207939,0,0,0,115.333368219513,0.00168214255273957,0.970675567386231,155.03462470725,60.8038408897709,0,
4,3,1,0,0,1,0,1,-2.2023519702844e-005,1.00045312810957,1,4,0,2015,12,90013.0211246658,90875.8951777986,0.99831785744726,0.993288388379269,0,93128.9313753411,802.825339907544,0,0,0,113.931196867208,0.00168214255273957,0.96869942460607,153.123786333705,60.0487132252607,0,
5,4,1,0,0,1,0,1,4.85941817232671e-005,1.00050606293455,1,5,0,2016,1,88892.8698140243,89753.6461347728,0.99831785744726,0.991617535714034,0,92170.8003637427,801.474873240868,0,0,0,112.516276405832,0.00168214255273957,0.966541973534334,151.232822593086,59.301447507688,0,
6,5,1,0,0,1,0,1,-8.1269032886917e-005,1.00043615813508,1,6,0,2016,2,87766.5213496934,88625.1980755432,0.99831785744726,0.989949493661166,0,91215.6292600791,800.126678251638,0,0,0,111.11608726753,0.00168214255273957,0.964436344951087,149.331413653211,58.5500475981944,0,
7,6,1,0,0,1,0,1,-2.90952293527935e-007,1.00030601974717,1,7,0,2016,3,86652.7486613218,87509.3364495726,0.99831785744726,0.988284257492816,0,90263.4108175072,798.780751118568,0,0,0,109.708151687117,0.00168214255273957,0.962187314406926,147.451212562936,57.8070371323027,0,
8,7,1,0,0,1,0,1,5.95172173122327e-006,1.00010532456531,1,8,0,2016,4,85544.8624763689,86399.3675180156,0.99831785744726,0.986621822489085,0,89314.1378051889,797.437088026803,0,0,0,108.315935826652,0.00168214255273957,0.959998607148965,145.580940526767,57.0679536199926,0,
9,8,1,0,0,1,0,1,6.36998737586136e-005,0.999914361719637,1,9,0,2016,5,84447.2212590544,85299.6526488647,0.99831785744726,0.984962183938014,0,88367.8030082577,796.0956851679,0,0,0,106.931078095461,0.00168214255273957,0.957797551189023,143.727946349132,56.3357046424645,0,
