TIME,YIELDS
0.08333,0.0005
0.1667,0.0005
0.25,0.0005
0.3333,0.0005
0.4167,0.0005
0.5,0.0005
0.5833,0.0005
0.6667,0.0005
0.75,0.0005
0.8333,0.0005
0.9167,0.0005
1,0.000500063
1.083,0.000500111
1.167,0.000500129
1.25,0.000500124
1.333,0.000500104
1.417,0.000500079
1.5,0.000500056
1.583,0.000500042
1.667,0.000500036
1.75,0.000500038
1.833,0.000500044
1.917,0.000500053
2,0.000500063
2.083,0.000500071
2.167,0.000500078
2.25,0.000500083
2.333,0.000500088
2.417,0.000500091
2.5,0.000500093
2.583,0.000500094
2.667,0.000500094
2.75,0.000500091
2.833,0.000500085
2.917,0.000500076
3,0.000500062
3.083,0.000500045
3.167,0.000500024
3.25,0.000500002
3.333,0.00049998
3.417,0.000499962
3.5,0.000499948
3.583,0.00049994
3.667,0.000499941
3.75,0.000499951
3.833,0.000499974
3.917,0.00050001
4,0.000500063
4.083,0.000500131
4.167,0.000500209
4.25,0.000500291
4.333,0.00050037
4.417,0.000500439
4.5,0.000500492
4.583,0.00050052
4.667,0.000500517
4.75,0.000500477
4.833,0.000500393
4.917,0.000500257
5,0.000500062
5.083,0.000499809
5.167,0.000499515
5.25,0.000499208
5.333,0.000498913
5.417,0.000498655
5.5,0.000498461
5.583,0.000498355
5.667,0.000498365
5.75,0.000498514
5.833,0.00049883
5.917,0.000499338
6,0.000500063
6.083,0.000501011
6.167,0.000502106
6.25,0.000503253
6.333,0.000504355
6.417,0.000505316
6.5,0.000506042
6.583,0.000506434
6.667,0.000506399
6.75,0.00050584
6.833,0.000504661
6.917,0.000502767
7,0.000500061
7.083,0.000496618
7.167,0.000493181
7.25,0.000490666
7.333,0.000489985
7.417,0.000492053
7.5,0.000497783
7.583,0.000508091
7.667,0.000523896
7.75,0.000546119
7.833,0.000575681
7.917,0.000613503
8,0.000660505
8.083,0.000717269
8.167,0.00078302
8.25,0.000856641
8.333,0.000937017
8.417,0.00102303
8.5,0.00111358
8.583,0.00120752
8.667,0.00130374
8.75,0.0014011
8.833,0.00149845
8.917,0.00159466
9,0.00168859
9.083,0.00177933
9.167,0.00186681
9.25,0.00195119
9.333,0.00203264
9.417,0.00211131
9.5,0.00218738
9.583,0.00226099
9.667,0.00233232
9.75,0.00240153
9.833,0.00246879
9.917,0.00253426
10,0.00259811
10.08,0.00266052
10.17,0.00272169
10.25,0.00278182
10.33,0.00284114
10.42,0.00289986
10.5,0.00295817
10.58,0.00301631
10.67,0.00307447
10.75,0.00313289
10.83,0.00319176
10.92,0.00325132
11,0.00331177
11.08,0.00337324
11.17,0.00343549
11.25,0.00349822
11.33,0.00356109
11.42,0.00362378
11.5,0.00368598
11.58,0.00374736
11.67,0.00380759
11.75,0.00386635
11.83,0.00392331
11.92,0.00397814
12,0.00403051
12.08,0.0040802
12.17,0.00412739
12.25,0.00417235
12.33,0.00421537
12.42,0.00425673
12.5,0.0042967
12.58,0.00433558
12.67,0.00437364
12.75,0.00441118
12.83,0.00444847
12.92,0.0044858
13,0.00452346
13.08,0.00456169
13.17,0.00460051
13.25,0.00463993
13.33,0.00467993
13.42,0.0047205
13.5,0.00476162
13.58,0.0048033
13.67,0.00484551
13.75,0.00488824
13.83,0.00493149
13.92,0.00497524
14,0.00501949
14.08,0.00506417
14.17,0.0051091
14.25,0.00515403
14.33,0.00519873
14.42,0.00524294
14.5,0.00528644
14.58,0.00532898
14.67,0.00537032
14.75,0.00541021
14.83,0.00544841
14.92,0.00548468
15,0.00551877
15.08,0.00555052
15.17,0.0055801
15.25,0.00560777
15.33,0.00563379
15.42,0.0056584
15.5,0.00568186
15.58,0.00570444
15.67,0.00572637
15.75,0.00574794
15.83,0.00576938
15.92,0.00579097
16,0.00581296
16.08,0.00583555
16.17,0.00585873
16.25,0.00588244
16.33,0.00590662
16.42,0.00593119
16.5,0.0059561
16.58,0.00598127
16.67,0.00600665
16.75,0.00603217
16.83,0.00605776
16.92,0.00608336
17,0.00610889
17.08,0.00613432
17.17,0.00615962
17.25,0.0061848
17.33,0.00620987
17.42,0.00623482
17.5,0.00625967
17.58,0.0062844
17.67,0.00630904
17.75,0.00633357
17.83,0.00635801
17.92,0.00638235
18,0.0064066
18.08,0.00643077
18.17,0.00645491
18.25,0.00647907
18.33,0.0065033
18.42,0.00652766
18.5,0.00655219
18.58,0.00657696
18.67,0.00660202
18.75,0.00662742
18.83,0.00665322
18.92,0.00667947
19,0.00670623
19.08,0.0067335
19.17,0.00676112
19.25,0.00678886
19.33,0.0068165
19.42,0.00684383
19.5,0.00687063
19.58,0.00689667
19.67,0.00692174
19.75,0.00694561
19.83,0.00696806
19.92,0.00698887
20,0.00700781
20.08,0.00702474
20.17,0.0070398
20.25,0.00705322
20.33,0.0070652
20.42,0.00707598
20.5,0.00708577
20.58,0.00709479
20.67,0.00710326
20.75,0.00711141
20.83,0.00711945
20.92,0.00712762
21,0.00713612
21.08,0.00714514
21.17,0.00715467
21.25,0.00716464
21.33,0.00717501
21.42,0.00718572
21.5,0.00719672
21.58,0.00720793
21.67,0.00721932
21.75,0.00723082
21.83,0.00724238
21.92,0.00725393
22,0.00726543
22.08,0.00727683
22.17,0.00728811
22.25,0.00729929
22.33,0.00731037
22.42,0.00732134
22.5,0.00733222
22.58,0.00734301
22.67,0.0073537
22.75,0.00736431
22.83,0.00737484
22.92,0.00738528
23,0.00739565
23.08,0.00740595
23.17,0.00741622
23.25,0.0074265
23.33,0.00743685
23.42,0.00744728
23.5,0.00745787
23.58,0.00746864
23.67,0.00747963
23.75,0.0074909
23.83,0.00750249
23.92,0.00751444
24,0.00752679
24.08,0.00753956
24.17,0.00755259
24.25,0.00756572
24.33,0.00757877
24.42,0.00759155
24.5,0.0076039
24.58,0.00761563
24.67,0.00762657
24.75,0.00763653
24.83,0.00764535
24.92,0.00765282
25,0.00765879
25.08,0.00766313
25.17,0.00766596
25.25,0.00766746
25.33,0.0076678
25.42,0.00766716
25.5,0.00766574
25.58,0.00766369
25.67,0.00766121
25.75,0.00765846
25.83,0.00765564
25.92,0.00765292
26,0.00765048
