TIME,YIELDS
0.08333,0.0005
0.1667,0.0005
0.25,0.0005
0.3333,0.0005
0.4167,0.0005
0.5,0.0005
0.5833,0.0005
0.6667,0.0005
0.75,0.0005
0.8333,0.0005
0.9167,0.0005
1,0.0005
1.5,0.000499993
2,0.0005
2.5,0.00050003
3,0.0005
3.5,0.000499885
4,0.0005
4.5,0.000500428
5,0.0005
5.5,0.000498401
6,0.0005
6.5,0.000505968
7,0.0005
7.5,0.000497726
8,0.00066
8.5,0.00111063
9,0.00168
9.5,0.00217164
10,0.002575
10.5,0.00292749
11,0.0032725
11.5,0.00363622
12,0.00397
12.5,0.00422754
13,0.00444667
13.5,0.00467602
14,0.00492333
14.5,0.00517838
15,0.0054
15.5,0.00555614
16,0.005682
16.5,0.00581872
17,0.005964
17.5,0.00610698
18,0.006246
18.5,0.00638336
19,0.006528
19.5,0.00668159
20,0.00681
20.5,0.00688455
21,0.006934
21.5,0.00699246
22,0.007058
22.5,0.0071216
23,0.007182
23.5,0.00724113
24,0.007306
24.5,0.00737789
25,0.00743
25.5,0.00743981
26,0.00743
26.5,0.00742737
27,0.00743
27.5,0.0074307
28,0.00743
28.5,0.00742981
29,0.00743
29.5,0.00743005
30,0.00743
30.5,0.00742999
31,0.00743
31.5,0.00743
32,0.00743
32.5,0.00743
33,0.00743
33.5,0.00743
34,0.00743
34.5,0.00743
35,0.00743
35.5,0.00743
36,0.00743
36.5,0.00743
37,0.00743
37.5,0.00743
38,0.00743
38.5,0.00743
39,0.00743
39.5,0.00743
40,0.00743
40.5,0.00743
41,0.00743
41.5,0.00743
42,0.00743
42.5,0.00743
43,0.00743
43.5,0.00743
44,0.00743
44.5,0.00743
45,0.00743
45.5,0.00743
46,0.00743
46.5,0.00743
47,0.00743
47.5,0.00743
48,0.00743
48.5,0.00743
49,0.00743
49.5,0.00743
50,0.00743
50.5,0.00743
51,0.00743
51.5,0.00743
52,0.00743
52.5,0.00743
53,0.00743
53.5,0.00743
54,0.00743
54.5,0.00743
55,0.00743
55.5,0.00743
56,0.00743
56.5,0.00743
57,0.00743
57.5,0.00743
58,0.00743
58.5,0.00743
59,0.00743
59.5,0.00743
60,0.00743
60.5,0.00743
61,0.00743
61.5,0.00743
62,0.00743
62.5,0.00743
63,0.00743
63.5,0.00743
64,0.00743
64.5,0.00743
65,0.00743
65.5,0.00743
66,0.00743
66.5,0.00743
67,0.00743
67.5,0.00743
68,0.00743
68.5,0.00743
69,0.00743
69.5,0.00743
70,0.00743
70.5,0.00743
71,0.00743
71.5,0.00743
72,0.00743
72.5,0.00743
73,0.00743
73.5,0.00743
74,0.00743
74.5,0.00743
75,0.00743
75.5,0.00743
76,0.00743
76.5,0.00743
77,0.00743
77.5,0.00743
78,0.00743
78.5,0.00743
79,0.00743
79.5,0.00743
80,0.00743
80.5,0.00743
81,0.00743
81.5,0.00743
82,0.00743
82.5,0.00743
83,0.00743
83.5,0.00743
84,0.00743
84.5,0.00743
85,0.00743
85.5,0.00743
86,0.00743
86.5,0.00743
87,0.00743
87.5,0.00743
88,0.00743
88.5,0.00743
89,0.00743
89.5,0.00743
90,0.00743
90.5,0.00743
91,0.00743
91.5,0.00743
92,0.00743
92.5,0.00743
93,0.00743
93.5,0.00743
94,0.00743
94.5,0.00743
95,0.00743
95.5,0.00743
96,0.00743
96.5,0.00743
97,0.00743
97.5,0.00743
98,0.00743
98.5,0.00743
99,0.00743
99.5,0.00743
100,0.00743
