ERROR PRICE,0.029

MODEL VOLATILITIES
 ,1,2,5,7,10,15,20,30,
0.25,41.88,34.12,24.47,20.97,17.62,100,100,100,
0.5,40.01,33.69,24.12,20.85,17.66,100,100,100,
1,0,0,0,0,329.3,100,100,100,
2,0,0,0,0,274.6,100,100,100,
3,0,0,0,0,218.6,100,100,100,
4,0,0,0,0,162.6,100,100,100,
5,0,0,0,0,124.7,100,100,100,
10,157.2,105.2,88.99,86.08,74.65,100,100,100,
15,100,100,100,100,100,100,100,100,
20,100,100,100,100,100,100,100,100,
30,100,100,100,100,100,100,100,100,

INPUT VOLATILITIES
 ,1,2,5,7,10,15,20,30,
0.25,41.88,34.12,24.47,20.97,17.62,100,100,100,
0.5,40.01,33.69,24.12,20.85,17.66,100,100,100,
1,36.48,31.42,23,20.09,17.44,100,100,100,
2,30.33,27.08,21.03,18.82,16.65,100,100,100,
3,26.68,24.37,19.36,17.6,15.77,100,100,100,
4,23.47,21.83,18.05,16.75,15.17,100,100,100,
5,21.84,20.25,16.85,15.69,14.39,100,100,100,
10,16.84,15.78,13.8,13.26,12.6,100,100,100,
15,100,100,100,100,100,100,100,100,
20,100,100,100,100,100,100,100,100,
30,100,100,100,100,100,100,100,100,

ERROR VOLATILITIES
 ,1,2,5,7,10,15,20,30,
0.25,0,0,0,0,0,0,0,0,
0.5,0,0,0,0,0,0,0,0,
1,36,31,23,20,-3.1e+002,0,0,0,
2,30,27,21,19,-2.6e+002,0,0,0,
3,27,24,19,18,-2e+002,0,0,0,
4,23,22,18,17,-1.5e+002,0,0,0,
5,22,20,17,16,-1.1e+002,0,0,0,
10,-1.4e+002,-89,-75,-73,-62,0,0,0,
15,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,

MODEL PRICES
 ,1,2,5,7,10,15,20,30,
0.25,0.0019,0.0038,0.009,0.012,0.016,0.022,0.026,0.032,
0.5,0.0027,0.0054,0.013,0.017,0.023,0.03,0.036,0.045,
1,0.0038,0.0075,0.018,0.024,0.032,0.042,0.051,0.062,
2,0.0053,0.01,0.025,0.033,0.044,0.058,0.07,0.086,
3,0.0064,0.012,0.029,0.039,0.052,0.07,0.083,0.1,
4,0.0072,0.014,0.033,0.044,0.059,0.079,0.094,0.12,
5,0.0079,0.016,0.036,0.048,0.064,0.086,0.1,0.13,
10,0.01,0.019,0.045,0.06,0.08,0.11,0.13,0.16,
15,0.011,0.021,0.048,0.064,0.085,0.11,0.14,0.17,
20,0.011,0.021,0.049,0.065,0.087,0.12,0.14,0.17,
30,0.01,0.02,0.048,0.064,0.085,0.11,0.14,0.17,
