Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,12000,0.04,0.01,CH_WB01,195001582,305923.9366,0.013,0.013,0,0,0,0.020138127,0.0282,56966.3537811845,0,0,0,56966.3537811845,26058200.4573809,26029737.4080794,28265.7644455047,28265.7644455047,0,0,0,32521.0237915419,24932.7849068488,0,28265.7644455047,43730.2791835163,61169.8829089866,0,13236.0745976682,-4203.52912780215,0,
2,12000,0.04,0.01,CH_WB01,195001587,100449.9933,0.013,0.013,0,0,0,0.02233519,0.0282,16892.7405401919,0,0,0,16892.7405401919,7200230.31172983,7192301.86022555,7815.33100520798,7815.33100520798,0,0,0,8987.11229729557,6890.11942792661,0,7815.33100520798,13401.5426713538,16901.90937153,0,3491.19786883815,-9.16883133812007,0,
3,12000,0.04,0.01,CH_WB01,195001588,84258.3958,0.013,0.013,0,0,0,0.022877253,0.0282,13840.4060245332,0,0,0,13840.4060245332,5785118.64667461,5778742.47905177,6280.62260056516,6280.62260056516,0,0,0,7221.02071068638,5536.11587819289,0,6280.62260056516,11028.9685762494,13580.0448257717,0,2811.43744828381,260.36119876154,0,
4,12000,0.04,0.01,CH_WB01,195001589,68320.95594,0.013,0.013,0,0,0,0.021438939,0.0282,13600.2609615548,0,0,0,13600.2609615548,5820186.01471185,5813531.07326991,6317.18793843543,6317.18793843543,0,0,0,7264.37567764746,5569.35468619638,0,6317.18793843543,10398.2177448384,13661.7980221843,0,3202.04321671641,-61.5370606295055,0,
5,12000,0.04,0.01,CH_WB01,195001591,93400.41728,0.013,0.013,0,0,0,0.02058481,0.0282,18434.9418790776,0,0,0,18434.9418790776,8048327.13167157,8039486.31107564,8730.33798598083,8730.33798598083,0,0,0,10044.3990005483,7700.70590042033,0,8730.33798598083,13806.1070686087,18892.7928310278,0,4628.83481046893,-457.850951950149,0,
6,12000,0.04,0.01,CH_WB01,195001596,113244.3434,0.013,0.013,0,0,0,0.021512636,0.0282,20292.2107338891,0,0,0,20292.2107338891,8751913.49187154,8742280.84730144,9496.64508785676,9496.64508785676,0,0,0,10923.2811605865,8374.51555644962,0,9496.64508785676,15689.7274378435,20544.3599911584,0,4602.48329604561,-252.149257269321,0,
7,12000,0.04,0.01,CH_WB01,195001597,76105.87045,0.013,0.013,0,0,0,0.022793991,0.0282,12447.8819884232,0,0,0,12447.8819884232,5213037.16399519,5207261.23236154,5659.43604432741,5659.43604432741,0,0,0,6506.92787188772,4988.64470178059,0,5659.43604432741,9902.160183231,12237.0638960496,0,2545.72180519225,210.818092373635,0,
8,12000,0.04,0.01,CH_WB01,195001598,98586.20589,0.013,0.013,0,0,0,0.021438762,0.0282,19624.8025515328,0,0,0,19624.8025515328,8398457.59800486,8388854.59022343,9115.62686450212,9115.62686450212,0,0,0,10482.4056998437,8036.51103654684,0,9115.62686450212,15004.3778008931,19713.8082870251,0,4620.42475063961,-89.005735492301,0,
9,12000,0.04,0.01,CH_WB01,195001601,39012.85518,0.013,0.013,0,0,0,0.022324436,0.0282,6558.95406098747,0,0,0,6558.95406098747,2796481.35857489,2793402.03820287,3035.37018678923,3035.37018678923,0,0,0,3490.48441899627,2676.03805456381,0,3035.37018678923,5202.48909289151,6564.49478977675,0,1356.46496809596,-5.54072878927582,0,
10,12000,0.04,0.01,CH_WB01,195001602,282580.2337,0.013,0.013,0,0,0,0.019709878,0.0268,70629.8993925112,0,0,0,70629.8993925112,27220902.8054327,27190664.0147835,29528.8741808905,29528.8741808905,0,0,0,33971.4405386732,26044.7710796495,0,29528.8741808905,44710.056112078,60725.8162996832,0,25919.8432804332,9904.08309282797,0,
