PolicyIdentifier;ProductName;InitialCharge;AccountName;Currency;IssueDate;NBDate;InvestmentDate;DeferralPeriod;Duration;AnnuityCommencementDate;PremiumPaymentMode;Premium;AmountInvested;WithdrawalMode;ConversionRate;InvestmentProtection;BenefitIncreaseFactor;WithdrawalModeDiscount;Guarantee;AccumulatedWithdrawalAmount;PerformanceBonusAmount;AccountValueBeforeBefore;AccountValueAfterBefore;AccountValue;BaseCapital;FundUnitsBeforeBefore;FundUnitsAfterBefore;FundUnits;NavDate;Nav
195001582;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;300;20130101;Single;505050.0;479797.5;monthly;0.04;0.7139;1.0;0.0;14422.8;188460.8;0.0;307493.7;306291.8;305923.94;322109.2;2896.5119;2885.1903;2881.7251;20150901;106.16
195001587;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;240;20130101;Single;119060.0;113107.0;monthly;0.05;1.0137;1.0;0.0;6034.8;16377.6;427.2;101112.53;100574.03;100449.99;104603.2;952.4541;947.3816;946.2132;20150901;106.16
195001588;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;100777.0;95738.15;monthly;0.05263158;1.0108;1.0;0.0;5361.6;14628.0;495.6;84851.3;84363.2;84258.4;87572.8;799.2775;794.6797;793.6925;20150901;106.16
195001589;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;60;240;20180101;Single;70000.0;66500.0;yearly;0.06666667;1.0275;1.0;0.0;4795.0;0.0;0.0;68407.05;68407.05;68320.96;71925.0;644.3769;644.3769;643.5659;20150901;106.16
195001591;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;36;300;20160101;Single;95530.0;90753.5;monthly;0.045454547;1.0438;1.0;0.0;4532.4;0.0;0.0;93513.04;93513.04;93400.42;99712.8;880.8689;880.8689;879.808;20150901;106.16
195001596;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;24;264;20150101;Single;120000.0;114000.0;monthly;0.05;1.027;1.0;0.0;6162.0;4108.0;0.0;113896.08;113382.58;113244.34;119132.0;1072.8719;1068.0349;1066.7327;20150901;106.16
195001597;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;90000.0;85500.0;quarterly;0.05263158;1.011;1.0;0.0;4788.8;12192.6;441.2;76200.4;76200.4;76105.87;79015.2;717.7882;717.7882;716.8978;20150901;106.16
195001598;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;60;240;20180101;Single;101009.0;95958.55;yearly;0.06666667;1.0275;1.0;0.0;6919.1;0.0;0.0;98710.44;98710.44;98586.21;103786.5;929.8271;929.8271;928.6568;20150901;106.16
195001601;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;240;20130101;Single;46241.0;43928.95;monthly;0.05;1.0136;1.0;0.0;2343.6;6362.0;168.0;39270.33;39061.02;39012.86;40622.4;369.9164;367.9448;367.4911;20150901;106.16
195001602;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130201;20130201;20130201;60;300;20180201;Single;300000.0;285000.0;yearly;0.05;1.055;1.0;0.0;15825.0;0.0;0.0;282926.3;282926.3;282580.23;316500.0;2665.0933;2665.0933;2661.8334;20150901;106.16
195001605;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;240;20130101;Single;100675.0;95641.25;monthly;0.05;1.0136;1.0;0.0;5102.4;13850.4;366.0;85496.79;85041.09;84936.22;88441.6;805.3579;801.0653;800.0774;20150901;106.16
195001608;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130201;20130201;20130201;0;300;20130201;Single;127439.0;121067.05;monthly;0.04;1.0273;1.0;0.0;5236.8;13528.7;0.0;107578.39;107141.99;107012.83;117391.6;1013.3609;1009.2501;1008.0334;20150901;106.16
195001609;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;240;20130101;Single;282828.0;268686.6;monthly;0.05;1.0138;1.0;0.0;14336.4;38900.8;1005.6;240195.05;238916.55;238621.88;248497.6;2262.5758;2250.5327;2247.757;20150901;106.16
195001611;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;240;20130101;Single;454545.0;431817.75;monthly;0.05;1.0138;1.0;0.0;23040.0;62522.4;1623.6;386025.1;383969.8;383496.23;399360.0;3636.2575;3616.8971;3612.4362;20150901;106.16
195001612;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;48;228;20170101;Single;110000.0;104500.0;yearly;0.06666667;1.0207;1.0;0.0;7485.1;0.0;0.0;107500.77;107500.77;107365.6;112276.5;1012.6297;1012.6297;1011.3564;20150901;106.16
195001613;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;12;252;20140101;Single;60000.0;57000.0;monthly;0.05;1.0196;1.0;0.0;3058.8;5142.8;67.2;53980.66;53720.17;53654.33;56078.0;508.484;506.0302;505.41;20150901;106.16
195001617;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;240;20130101;Single;30000.0;28500.0;quarterly;0.05;1.0136;1.0;0.0;1520.4;3856.4;110.8;25608.41;25608.41;25576.87;26607.0;241.2247;241.2247;240.9276;20150901;106.16
195001619;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;60;240;20180101;Single;201904.0;191808.8;monthly;0.06666667;1.0275;1.0;0.0;13830.0;0.0;0.0;197309.46;197309.46;197061.13;207450.0;1858.6046;1858.6046;1856.2654;20150901;106.16
195001621;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;356516.0;345820.52;monthly;0.05263158;1.011;1.0210527;0.0;19369.2;52831.2;1770.0;306501.39;304739.8;304361.24;316363.6;2887.1646;2870.5708;2867.0049;20150901;106.16
195001623;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;160000.0;152000.0;quarterly;0.05263158;1.011;1.0;0.0;8513.6;21675.6;783.2;135467.57;135467.57;135299.52;140474.4;1276.0698;1276.0698;1274.4868;20150901;106.16
195001625;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;84;240;20200101;Single;80000.0;76000.0;monthly;0.07692308;1.0275;1.0;0.0;6322.8;0.0;0.0;78113.75;78113.75;78013.33;82196.4;735.8115;735.8115;734.8656;20150901;106.16
195001626;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;24;240;20150101;Single;60000.0;57000.0;monthly;0.055555556;1.0217;1.0;0.0;3405.6;2270.4;0.0;56737.08;56453.29;56383.6;59030.4;534.4488;531.7755;531.1191;20150901;106.16
195001627;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130201;20130201;20130201;0;228;20130201;Single;32352.0;30734.4;yearly;0.05263158;1.011;1.0;0.0;1721.4;3442.8;0.0;27111.64;27111.64;27077.96;29263.8;255.3847;255.3847;255.0674;20150901;106.16
195001629;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130201;20130201;20130201;0;240;20130201;Single;200000.0;190000.0;monthly;0.05;1.0138;1.0;0.0;10137.6;26188.8;0.0;164024.97;163180.17;162978.05;176563.2;1545.0732;1537.1154;1535.2115;20150901;106.16
195001632;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;70707.0;67171.65;yearly;0.05263158;1.011;1.0;0.0;3762.3;7524.6;350.3;61902.52;61902.52;61826.07;63959.1;583.1059;583.1059;582.3857;20150901;106.16
195001633;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;142954.0;135806.3;monthly;0.05263158;1.0109;1.0;0.0;7605.6;20750.4;703.2;120362.85;119670.45;119521.79;124224.8;1133.7872;1127.265;1125.8646;20150901;106.16
195001634;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;300;20130101;Single;50000.0;47500.0;monthly;0.04;1.0272;1.0;0.0;2054.4;5478.4;0.0;43808.46;43637.26;43584.86;45881.6;412.6645;411.0518;410.5582;20150901;106.16
195001635;RVATAp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130401;20130401;20130401;60;300;20180401;Single;200000.0;190000.0;yearly;0.05;1.055;1.0;0.0;10550.0;0.0;0.0;184634.18;184634.18;184407.8;211000.0;1739.2067;1739.2067;1737.0742;20150901;106.16
195001637;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130101;20130101;20130101;0;228;20130101;Single;120000.0;114000.0;monthly;0.05263158;1.011;1.0;0.0;6385.2;17415.2;582.0;101038.98;100458.38;100333.58;104291.6;951.7613;946.2922;945.1166;20150901;106.16
195001640;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130201;20130201;20130201;0;252;20130201;Single;250000.0;237500.0;monthly;0.04761905;1.0165;1.0;0.0;12100.8;31260.4;0.0;206461.77;205453.37;205200.53;222856.4;1944.817;1935.3181;1932.9364;20150901;106.16
195001641;RVATp_13;0.05;BFI Swiss TargetVol 5%;CHF;20130201;20130201;20130201;0;228;20130201;Single;250000.0;237500.0;quarterly;0.05263158;1.011;1.0;0.0;13302.4;33256.0;0.0;203365.68;203365.68;203112.11;219489.6;1915.6526;1915.6526;1913.264;20150901;106.16
