Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,0.04,0.01,CH_WB01,195001582,305923.9366,0.013,0.013,0.03,0,0,0.020138127,0.0282,61579.6992655131,0,0,0,61579.6992655131,25595994.9835344,25562164.9098401,27728.984848835,27728.984848835,5969.13898944133,0,0,31937.29717094,24485.2611643873,0,33698.1238382763,42954.6164724816,60071.0875381241,0,18625.0827930315,1508.61172738901,0,
2,10000,0.04,0.01,CH_WB01,195001587,100449.9933,0.013,0.013,0.03,0,0,0.02233519,0.0282,18510.9920944374,0,0,0,18510.9920944374,7062099.32440443,7052264.53648795,7650.60210227065,7650.60210227065,2111.22332203568,0,0,8812.20526808311,6756.02403886371,0,9761.82542430633,13144.4441841204,16572.8216607467,0,5366.547910317,1938.1704336907,0,
3,10000,0.04,0.01,CH_WB01,195001588,84258.3958,0.013,0.013,0.03,0,0,0.022877253,0.0282,15219.432012797,0,0,0,15219.432012797,5672417.9643729,5664414.65193556,6145.12619473826,6145.12619473826,1798.68065834531,0,0,7078.20953985492,5426.62731388877,0,7943.80685308356,10814.1117410587,13311.3744320486,0,4405.32027173838,1908.05758074847,0,
4,10000,0.04,0.01,CH_WB01,195001589,68320.95594,0.013,0.013,0.03,0,0,0.021438939,0.0282,14916.5303920185,0,0,0,14916.5303920185,5703446.29925057,5695304.94052823,6178.73241335309,6178.73241335309,1717.31886463197,0,0,7116.64488159202,5456.09440922055,0,7896.05127798505,10189.6531082841,13383.9666102413,0,4726.8772837344,1532.56378177713,0,
5,10000,0.04,0.01,CH_WB01,195001591,93400.41728,0.013,0.013,0.03,0,0,0.02058481,0.0282,19893.7160563858,0,0,0,19893.7160563858,7901885.95050083,7891383.98171875,8560.36237304469,8560.36237304469,1863.64049448502,0,0,9859.49572092384,7558.94671937495,0,10424.0028675297,13554.9017443941,18544.7523570391,0,6338.81431199174,1348.96369934675,0,
6,10000,0.04,0.01,CH_WB01,195001596,113244.3434,0.013,0.013,0.03,0,0,0.021512636,0.0282,22081.7005858275,0,0,0,22081.7005858275,8587471.8219316,8575760.63438312,9303.09494542389,9303.09494542389,2315.938835714,0,0,10715.3330549853,8215.08867548875,0,11619.0337811379,15394.9296221226,20153.0374908003,0,6686.77096370487,1928.66309502714,0,
7,10000,0.04,0.01,CH_WB01,195001597,76105.87045,0.013,0.013,0.03,0,0,0.022793991,0.0282,13683.7315092551,0,0,0,13683.7315092551,5111586.63596674,5104361.6534262,5537.559305628,5537.559305628,1612.29612601503,0,0,6378.3821723666,4890.0929988144,0,7149.85543164303,9709.45498132885,11995.2498855516,0,3974.27652792625,1688.48162370353,0,
8,10000,0.04,0.01,CH_WB01,195001598,98586.20589,0.013,0.013,0.03,0,0,0.021438762,0.0282,21524.1534526057,0,0,0,21524.1534526057,8230004.01507301,8218256.13156356,8915.83773299617,8915.83773299617,2478.06450825417,0,0,10269.2324722974,7873.07822876132,0,11393.9022412503,14703.4247781829,19312.9019091744,0,6820.72867442278,2211.25154343132,0,
9,10000,0.04,0.01,CH_WB01,195001601,39012.85518,0.013,0.013,0.03,0,0,0.022324436,0.0282,7187.36363350643,0,0,0,7187.36363350643,2742838.00133636,2739018.33812702,2971.39754978058,2971.39754978058,819.917126733157,0,0,3422.55901093895,2623.96190838653,0,3791.31467651373,5102.69261826679,6436.69309459849,0,2084.67101523963,750.670538907943,0,
10,10000,0.04,0.01,CH_WB01,195001602,282580.2337,0.013,0.013,0.03,0,0,0.019709878,0.0268,75878.8486196486,0,0,0,75878.8486196486,26702954.6711108,26666978.9069432,28928.2012020428,28928.2012020428,6519.73721654655,0,0,33317.5569261823,25543.4603100731,0,35447.9384185893,43859.3315672603,59556.2528921731,0,32019.5170523883,16322.5957274756,0,
