Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,0.04,0.01,CH_WB01,195001582,305604.3815,0.013,0.013,0.03,0,0,0.020138127,0.0282,61387.4435267153,0,0,0,61387.4435267153,25577163.0605919,25543361.2752968,27708.5933673114,27708.5933673114,5960.89304079122,0,0,31913.8000946557,24467.246739236,0,33669.4864081026,42923.0131678258,60026.8989969474,0,18464.4303588895,1360.54452976792,0,
2,10000,0.04,0.01,CH_WB01,195001587,100345.157,0.013,0.013,0.03,0,0,0.02233519,0.0282,18381.2674623835,0,0,0,18381.2674623835,7071183.7104203,7061303.78995233,7695.95061455903,7695.95061455903,2109.85730899589,0,0,8823.49724268049,6764.68121938838,0,9805.80792355491,13161.3526414285,16594.063906388,0,5219.91482095492,1787.20355599549,0,
3,10000,0.04,0.01,CH_WB01,195001588,84170.49157,0.013,0.013,0.03,0,0,0.022877253,0.0282,15087.8926666978,0,0,0,15087.8926666978,5684138.47902358,5676080.52327537,6199.00255458457,6199.00255458457,1798.14133493538,0,0,7092.7842270231,5437.80124071771,0,7997.14388951995,10836.4561726381,13338.7892296971,0,4251.43649405965,1749.10343700066,0,
4,10000,0.04,0.01,CH_WB01,195001589,68249.42217,0.013,0.013,0.03,0,0,0.021438939,0.0282,14870.294119093,0,0,0,14870.294119093,5698876.99488674,5690742.13317064,6173.78340797612,6173.78340797612,1715.05390468735,0,0,7110.94340974232,5451.72328080244,0,7888.83731266347,10181.48968849,13373.244012951,0,4688.80443060295,1497.05010614197,0,
5,10000,0.04,0.01,CH_WB01,195001591,93302.61588,0.013,0.013,0.03,0,0,0.02058481,0.0282,19831.9899270407,0,0,0,19831.9899270407,7896243.6843866,7885750.0712353,8554.26399027504,8554.26399027504,1861.13749750741,0,0,9852.45527569126,7553.54904469664,0,10415.4014877824,13545.2229963998,18531.512667403,0,6286.76693064089,1300.47725963778,0,
6,10000,0.04,0.01,CH_WB01,195001596,113126.0983,0.013,0.013,0.03,0,0,0.021512636,0.0282,22008.6966316148,0,0,0,22008.6966316148,8581541.62187755,8569839.69279429,9296.67014178016,9296.67014178016,2312.77247050087,0,0,10707.9334816004,8209.41566922694,0,11609.442612281,15384.2984358584,20139.1232780666,0,6624.39819575634,1869.5733535482,0,
7,10000,0.04,0.01,CH_WB01,195001597,76026.1886,0.013,0.013,0.03,0,0,0.022793991,0.0282,13550.6872246917,0,0,0,13550.6872246917,5125160.28802475,5117918.91779966,5552.25697915037,5552.25697915037,1612.16330136694,0,0,6395.32066490602,4903.07917642795,0,7164.4202805173,9735.23812323279,12027.1094568292,0,3815.44910145887,1523.57776786245,0,
8,10000,0.04,0.01,CH_WB01,195001598,98482.99559,0.013,0.013,0.03,0,0,0.021438762,0.0282,21457.4302603782,0,0,0,21457.4302603782,8223411.92291374,8211673.41393527,8908.69625113296,8908.69625113296,2474.79665807061,0,0,10261.0070145153,7866.77204446176,0,11383.4929092036,14691.6475869425,19297.4325227479,0,6765.78267343569,2159.99773763029,0,
9,10000,0.04,0.01,CH_WB01,195001601,38972.13747,0.013,0.013,0.03,0,0,0.022324436,0.0282,7136.68110111273,0,0,0,7136.68110111273,2746432.62746108,2742595.16533196,2989.26333081749,2989.26333081749,819.399119856928,0,0,3427.02725187946,2627.38755977425,0,3808.66245067442,5109.37995167223,6445.0986385301,0,2027.3011494405,691.582462582624,0,
10,10000,0.04,0.01,CH_WB01,195001602,282284.376,0.013,0.013,0.03,0,0,0.019709878,0.0268,75661.0917432899,0,0,0,75661.0917432899,26681897.797877,26645952.0611639,28905.3892717626,28905.3892717626,6511.01922490279,0,0,33291.2820790282,25523.3162605883,0,35416.4084966654,43824.7458670521,59509.2929365993,0,31836.3458762379,16151.7988066907,0,
11,10000,0.04,0.01,CH_WB01,195001605,84847.56669,0.013,0.013,0.03,0,0,0.022325709,0.0282,15538.2956079718,0,0,0,15538.2956079718,5979307.46110011,5970952.81840939,6507.99879018244,6507.99879018244,1783.95049924957,0,0,7461.04213041652,5720.132299986,0,8291.94928943201,11124.3565331708,14031.7391232621,0,4413.93907480099,1506.55648470974,0,
12,10000,0.04,0.01,CH_WB01,195001608,106901.0613,0.013,0.013,0.03,0,0,0.019791837,0.0268,24527.8640064099,0,0,0,24527.8640064099,8785180.9561619,8773478.12675243,9517.27943780453,9517.27943780453,2124.51198629484,0,0,10961.6401610289,8403.92412345551,0,11641.7914240994,14489.5724583217,19594.1011497471,0,10038.2915480882,4933.76285666283,0,
13,10000,0.04,0.01,CH_WB01,195001609,238372.8547,0.013,0.013,0.03,0,0,0.022340696,0.0282,43671.4349281059,0,0,0,43671.4349281059,16797480.6327047,16774011.661295,18280.8390204022,18280.8390204022,5012.11765687034,0,0,20960.0735256721,16069.3897030153,0,23292.9566772725,31272.2840317619,39418.9274040433,0,12399.150896344,4252.50752406256,0,
14,10000,0.04,0.01,CH_WB01,195001611,383096.0058,0.013,0.013,0.03,0,0,0.022337894,0.0282,70180.6417489586,0,0,0,70180.6417489586,26995984.0200523,26958265.4869778,29380.5754890734,29380.5754890734,8055.04682114644,0,0,33685.8728995902,25825.8358896859,0,37435.6223102198,50252.7857888019,63351.9238943979,0,19927.8559601567,6828.71785456073,0,
15,10000,0.04,0.01,CH_WB01,195001612,107253.1907,0.013,0.013,0.03,0,0,0.022007649,0.0282,21706.5308131032,0,0,0,21706.5308131032,8216376.65668801,8204521.22489685,8901.07471229218,8901.07471229218,2565.02833177218,0,0,10252.4680722289,7860.22552204214,0,11466.1030440644,15068.5944593486,19280.6248785076,0,6637.93635375456,2425.90593459556,0,
16,10000,0.04,0.01,CH_WB01,195001613,53598.30318,0.013,0.013,0.03,0,0,0.021881828,0.0282,10076.2652765323,0,0,0,10076.2652765323,3927092.14918681,3921679.51586663,4259.93435565209,4259.93435565209,1110.40784704488,0,0,4900.22697482392,3756.84068069834,0,5370.34220269697,7160.99624572134,9215.94686228659,0,2915.26903081096,860.318414245708,0,
