Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,0.04,0.01,CH_WB01,195001582,306118.5382,0.013,0.013,0.03,0,0,0.020138127,0.0282,61491.2336171922,0,0,0,61491.2336171922,25619968.376934,25586304.5735922,27560.3544250197,27560.3544250197,5970.92935090948,0,0,31967.4533400913,24508.38089407,0,33531.2837759292,42994.8480758901,60127.8157479417,0,18496.3855413021,1363.41786925054,0,
2,10000,0.04,0.01,CH_WB01,195001587,100513.8906,0.013,0.013,0.03,0,0,0.02233519,0.0282,18478.6181691466,0,0,0,18478.6181691466,7069004.7717215,7059225.29726888,7594.18570353202,7594.18570353202,2111.91050229004,0,0,8820.90215332824,6762.69165088499,0,9706.09620582206,13157.2970572755,16589.1794485819,0,5321.3211118711,1889.43872056476,0,
3,10000,0.04,0.01,CH_WB01,195001588,84311.99348,0.013,0.013,0.03,0,0,0.022877253,0.0282,15191.7757106607,0,0,0,15191.7757106607,5677996.64679526,5670039.8755668,6097.57208736206,6097.57208736206,1799.32383727826,0,0,7085.23805189421,5432.01583978556,0,7896.89592464032,10824.7471518239,13324.593707582,0,4367.02855883681,1867.18200307873,0,
4,10000,0.04,0.01,CH_WB01,195001589,68364.41565,0.013,0.013,0.03,0,0,0.021438939,0.0282,14895.3527652985,0,0,0,14895.3527652985,5708435.35842212,5700330.29843529,6140.67751745528,6140.67751745528,1717.94365380617,0,0,7122.92443066832,5460.90873017905,0,7858.62117126145,10198.5664528879,13395.7762013229,0,4696.78631241059,1499.57656397558,0,
5,10000,0.04,0.01,CH_WB01,195001591,93459.8303,0.013,0.013,0.03,0,0,0.02058481,0.0282,19865.4055815361,0,0,0,19865.4055815361,7909489.39591641,7899037.59254808,8509.18641891107,8509.18641891107,1864.27348992131,0,0,9869.05670332567,7566.27680588302,0,10373.4599088324,13567.9447009962,18562.738342488,0,6297.46088053997,1302.66723904816,0,
6,10000,0.04,0.01,CH_WB01,195001596,113316.3794,0.013,0.013,0.03,0,0,0.021512636,0.0282,22045.9464022315,0,0,0,22045.9464022315,8595889.87285047,8584240.38814384,9240.17850058458,9240.17850058458,2316.66617677988,0,0,10725.9270204504,8223.21071567865,0,11556.8446773645,15410.0208275599,20172.964912138,0,6635.9255746716,1872.98149009346,0,
7,10000,0.04,0.01,CH_WB01,195001597,76154.28222,0.013,0.013,0.03,0,0,0.022793991,0.0282,13658.7874692012,0,0,0,13658.7874692012,5116647.02996095,5109463.96422257,5494.62962912279,5494.62962912279,1612.86445662426,0,0,6384.75744055628,4894.98070442648,0,7107.49408574705,9719.06719592556,12007.240315923,0,3939.72027327561,1651.54715327812,0,
8,10000,0.04,0.01,CH_WB01,195001598,98648.91765,0.013,0.013,0.03,0,0,0.021438762,0.0282,21493.5950304125,0,0,0,21493.5950304125,8237203.1430223,8225507.63788989,8860.92502827364,8860.92502827364,2478.96634499081,0,0,10278.2937552002,7880.02521232012,0,11339.8913732645,14716.2864774089,19329.9429490412,0,6777.30855300358,2163.65208137127,0,
9,10000,0.04,0.01,CH_WB01,195001601,39037.67168,0.013,0.013,0.03,0,0,0.022324436,0.0282,7174.7931200429,0,0,0,7174.7931200429,2745519.44398954,2741721.26547404,2949.48594598791,2949.48594598791,820.18226184499,0,0,3425.93609173383,2626.5510036626,0,3769.6682078329,5107.68109284168,6443.044973864,0,2067.11202720122,731.748146178899,0,
10,10000,0.04,0.01,CH_WB01,195001602,282759.9861,0.013,0.013,0.03,0,0,0.019709878,0.0268,75788.5953437415,0,0,0,75788.5953437415,26726671.9001069,26690845.5482225,28774.142466783,28774.142466783,6521.98974655191,0,0,33347.3717153456,25566.3183150983,0,35296.1322133349,43898.2868747612,59609.5550576969,0,31890.3084689802,16179.0402860446,0,
11,10000,0.04,0.01,CH_WB01,195001605,84990.24564,0.013,0.013,0.03,0,0,0.022325709,0.0282,15621.3150318101,0,0,0,15621.3150318101,5977311.2495402,5969042.14736268,6421.38103283552,6421.38103283552,1785.65818481265,0,0,7458.65644104178,5718.30327146536,0,8207.03921764817,11120.6426299717,14027.2490463023,0,4500.67240183833,1594.06598550779,0,
12,10000,0.04,0.01,CH_WB01,195001608,107080.8978,0.013,0.013,0.03,0,0,0.019791837,0.0268,24569.3395188245,0,0,0,24569.3395188245,8799878.0880149,8788223.72935603,9465.13097285209,9465.13097285209,2128.0882672871,0,0,10980.0634203205,8418.04862224574,0,11593.2192401392,14513.8127281552,19627.0329955618,0,10055.5267906693,4942.30652326274,0,
13,10000,0.04,0.01,CH_WB01,195001609,238773.6731,0.013,0.013,0.03,0,0,0.022340696,0.0282,43901.3112575506,0,0,0,43901.3112575506,16792602.1705437,16769370.6513671,18040.1953222528,18040.1953222528,5017.03513412367,0,0,20954.2792776011,16064.9474461608,0,23057.2304563764,31263.2016784215,39408.0210307127,0,12638.1095791291,4493.29022683782,0,
14,10000,0.04,0.01,CH_WB01,195001611,383740.1731,0.013,0.013,0.03,0,0,0.022337894,0.0282,70551.2102420893,0,0,0,70551.2102420893,26987901.5686031,26950565.5740535,28992.9529826539,28992.9529826539,8062.91959447149,0,0,33676.2594239586,25818.4655583683,0,37055.8725771254,50237.7403768242,63333.8290990258,0,20313.4698652651,7217.38114306355,0,
15,10000,0.04,0.01,CH_WB01,195001612,107433.8918,0.013,0.013,0.03,0,0,0.022007649,0.0282,21743.1146079127,0,0,0,21743.1146079127,8230150.70817785,8218343.67093349,8847.7028830278,8847.7028830278,2569.350106053,0,0,10269.7407663972,7873.46792090453,0,11417.0529890808,15093.85566689,19313.1076266937,0,6649.25894102274,2430.006981219,0,
16,10000,0.04,0.01,CH_WB01,195001613,53688.4557,0.013,0.013,0.03,0,0,0.021881828,0.0282,10103.5975293581,0,0,0,10103.5975293581,3931363.74752514,3925984.64055774,4224.84784231948,4224.84784231948,1112.03702769547,0,0,4905.60669658428,3760.96513404795,0,5336.88487001495,7168.78544406504,9226.0639053107,0,2934.81208529306,877.533624047404,0,
17,10000,0.04,0.01,CH_WB01,195001617,25593.14374,0.013,0.013,0.03,0,0,0.022231647,0.0282,4682.21584738916,0,0,0,4682.21584738916,1796267.08063452,1793778.3527606,1929.67881985461,1929.67881985461,533.814772709392,0,0,2241.43030338937,1718.42989926519,0,2463.493592564,3327.83130453226,4215.37912898742,0,1354.3845428569,466.83671840174,0,
18,10000,0.04,0.01,CH_WB01,195001619,197186.4876,0.013,0.013,0.03,0,0,0.021924136,0.0282,41991.4837795858,0,0,0,41991.4837795858,15816430.9850068,15794345.3535305,17009.112385423,17009.112385423,4859.21115730108,0,0,19735.7942343381,15130.7755796592,0,21868.3235427241,28896.7986624919,37116.7115807967,0,13094.6851170939,4874.77219878908,0,
19,10000,0.04,0.01,CH_WB01,195001621,304554.8477,0.013,0.013,0.03,0,0,0.022885016,0.0282,54887.7384891927,0,0,0,54887.7384891927,20511547.6534488,20482798.6536154,22027.2378079075,22027.2378079075,6499.96471723001,0,0,25595.1499307328,19622.9482802284,0,28527.2025251375,39117.2580194949,48134.5768359961,0,15770.4804696977,6753.16165319653,0,
20,10000,0.04,0.01,CH_WB01,195001623,135385.5842,0.013,0.013,0.03,0,0,0.022796164,0.0282,24283.8433320427,0,0,0,24283.8433320427,9096234.96878786,9083465.0840069,9768.19981535396,9768.19981535396,2867.34866308968,0,0,11350.6469193718,8702.16263818504,0,12635.5484784436,17279.9386775853,21346.1429474162,0,7003.90465445742,2937.70038462644,0,
21,10000,0.04,0.01,CH_WB01,195001625,78062.95723,0.013,0.013,0.03,0,0,0.021255789,0.0282,18057.7873774626,0,0,0,18057.7873774626,6925144.60891182,6915333.9057828,7452.60253382165,7452.60253382165,2249.71817751539,0,0,8640.87412272323,6624.67016075448,0,9702.32071133704,12266.6177167931,16251.0346785896,0,5791.16966066955,1806.75269887306,0,
22,10000,0.04,0.01,CH_WB01,195001626,56419.46988,0.013,0.013,0.03,0,0,0.022317162,0.0282,10536.4061902543,0,0,0,10536.4061902543,3966395.08353037,3960899.133105,4261.07639632403,4261.07639632403,1189.19425418855,0,0,4949.37374171643,3794.51986864926,0,5450.27065051258,7376.55680292923,9308.11296279675,0,3159.84938732504,1228.29322745752,0,
23,10000,0.04,0.01,CH_WB01,195001627,27095.17977,0.013,0.013,0.03,0,0,0.022181343,0.0268,5638.20192192617,0,0,0,5638.20192192617,1817870.08788862,1815281.19669611,1952.14504854612,1952.14504854612,578.324573123208,0,0,2268.39781737613,1739.1049933217,0,2530.46962166933,3360.23332907481,4054.12800595464,0,2277.96859285136,1584.07391597153,0,
