TIME;Swap_output;TIME;ZCB_Yield;Log_ZCB_Yield;INV_ZCB_Yield;TIME;ZCR_YC;Forward_YC;Fwd_ZCB_YC
0.08333333333;0.0011;0;1;0;1;0;0.001099999602;0.001099395443;1.00009162
0.1666666667;0.001100000398;0.08333333333;0.9999083879;9.161628694e-005;1.00009162;0.08333333333;0.0011;0.001099396239;1.000091621
0.25;0.0011;0.1666666667;0.9998167841;0.0001832326402;1.000183249;0.1666666667;0.001100000398;0.001099394648;1.00009162
0.3333333333;0.001099998525;0.25;0.9997251889;0.0002748488608;1.000274887;0.25;0.0011;0.001099389549;1.00009162
0.4166666667;0.001099997758;0.3333333333;0.9996336025;0.0003664646566;1.000366532;0.3333333333;0.001099998525;0.001099390139;1.00009162
0.5;0.0011;0.4166666667;0.9995420244;0.0004580805015;1.000458185;0.4166666667;0.001099997758;0.001099406642;1.000091621
0.5833333333;0.001100006601;0.5;0.9994504533;0.0005496977217;1.000549849;0.5;0.0011;0.001099441601;1.000091624
0.6666666667;0.001100015105;0.5833333333;0.9993588877;0.0006413178551;1.000641524;0.5833333333;0.001100006601;0.001099469995;1.000091627
0.75;0.001100022105;0.6666666667;0.9992673282;0.0007329403547;1.000733209;0.6666666667;0.001100015105;0.001099473458;1.000091627
0.8333333333;0.001100024192;0.75;0.9991757767;0.0008245631429;1.000824903;0.75;0.001100022105;0.001099438374;1.000091624
0.9166666667;0.00110001796;0.8333333333;0.9990842366;0.0009161830074;1.000916603;0.8333333333;0.001100024192;0.001099351128;1.000091617
1;0.0011;0.9166666667;0.9989927121;0.001007795601;1.001008304;0.9166666667;0.00110001796;0.001102824115;1.000091906
1.5;0.00109975147;1;0.9989009068;0.001099697611;1.001100303;1;0.0011003025;0.00110240901;1.000091872
2;0.0011;1.083333333;0.9988091446;0.001191565028;1.001192275;1.083333333;0.001100511299;0.001100588198;1.00009172
2.5;0.001101018016;1.166666667;0.9987175423;0.001283280711;1.001284104;1.166666667;0.001100560068;0.001098961219;1.000091584
3;0.0011;1.25;0.9986260839;0.001374860813;1.001375806;1.25;0.00110049375;0.001097707647;1.00009148
3.5;0.001094869892;1.333333333;0.9985347381;0.00146633645;1.001467412;1.333333333;0.001100357287;0.001097007051;1.000091421
4;0.001089547412;1.416666667;0.998443459;0.001557753705;1.001558968;1.416666667;0.001100195622;0.001097039005;1.000091424
