Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,1,1,CH_WB01,195003044,311639.7263,0.013,0.013,0.03,0,0,0.0277741933989388,0,58610.4566380588,0,0,0,58610.4566380588,25322984.8858033,25289715.1049007,26066.0948262861,26066.0948262861,6373.32078655499,0,0,31595.5440747518,24223.2504573098,0,32439.415612841,58610.4566380588,0,0,0,58610.4566380588,0,
2,10000,1,1,CH_WB01,195003056,209662.6727,0.013,0.013,0.03,0,0,0.0281102374701647,0,42644.2111670384,0,0,0,42644.2111670384,18204418.7477105,18180559.332634,18801.6872766848,18801.6872766848,4746.44944404233,0,0,22713.4569262276,17413.6503101078,0,23548.1367207272,42644.2111670384,0,0,0,42644.2111670384,0,
3,10000,1,1,CH_WB01,195003057,476525.4091,0.013,0.013,0.03,0,0,0.0258795266331832,0,93005.4031551982,0,0,0,93005.4031551982,43125396.1357756,43071396.4575019,44628.6877137554,44628.6877137554,8912.60033566172,0,0,53804.0190311034,41249.7479238459,0,53541.2880494171,93005.4031551982,0,0,0,93005.4031551982,0,
4,10000,1,1,CH_WB01,195003060,95298.32142,0.013,0.013,0.03,0,0,0.0278525584252861,0,21775.2517389832,0,0,0,21775.2517389832,9381652.37382908,9369112.69652777,9745.38565164653,9745.38565164653,2633.63541374321,0,0,11704.6665508655,8973.57768899689,0,12379.0210653897,21775.2517389832,0,0,0,21775.2517389832,0,
5,10000,1,1,CH_WB01,195003063,190605.3332,0.013,0.013,0.03,0,0,0.0282537151710334,0,35020.5412786181,0,0,0,35020.5412786181,14874026.0457594,14854718.9768835,15277.3626829052,15277.3626829052,3838.99694523506,0,0,18558.5394909173,14228.2136097033,0,19116.3596281403,35020.5412786181,0,0,0,35020.5412786181,0,
6,10000,1,1,CH_WB01,195003066,28579.01174,0.013,0.013,0.03,0,0,0.0263436149706355,0,9676.23973707502,0,0,0,9676.23973707502,4407704.75025278,4399435.62617489,4649.6467394398,4649.6467394398,3278.77730414873,0,0,5494.42108704392,4212.38950006701,0,7928.42404358853,9676.23973707502,0,0,0,9676.23973707502,0,
7,10000,1,1,CH_WB01,195003069,142953.3989,0.013,0.013,0.03,0,0,0.0264605358330997,0,34457.881255686,0,0,0,34457.881255686,15626840.5778461,15606879.6265222,16301.9533926709,16301.9533926709,3447.66283335742,0,0,19495.0965010112,14946.2406507752,0,19749.6162260283,34457.881255686,0,0,0,34457.881255686,0,
8,10000,1,1,CH_WB01,195003070,51020.2775,0.013,0.013,0.03,0,0,0.0277721503821907,0,9594.82648674346,0,0,0,9594.82648674346,4145804.92530948,4140358.09220572,4267.4729815844,4267.4729815844,1043.4023749891,0,0,5172.72993448461,3965.7596164382,0,5310.8753565735,9594.82648674346,0,0,0,9594.82648674346,0,
9,10000,1,1,CH_WB01,195003072,107635.0871,0.013,0.013,0.03,0,0,0.0280829182197496,0,22760.3307588952,0,0,0,22760.3307588952,9725626.3387423,9712828.34353435,10063.9139294666,10063.9139294666,2586.46638420944,0,0,12134.3913055769,9303.03333427563,0,12650.380313676,22760.3307588952,0,0,-3.63797880709171e-012,22760.3307588952,0,
10,10000,1,1,CH_WB01,195003073,371680.4031,0.013,0.013,0.03,0,0,0.0282583436135071,0,68299.7958350706,0,0,0,68299.7958350706,29003736.4266846,28966088.273599,29790.1863622344,29790.1863622344,7486.1702712039,0,0,36188.3855386537,27744.4289129679,0,37276.3566334383,68299.7958350706,0,0,0,68299.7958350706,0,
