Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,0.04,0.01,CH_WB01,195003044,311639.7263,0.013,0.013,0.03,0,0,0.0289424240107141,0,59257.7813638892,0,0,0,59257.7813638892,24569240.5067189,24537727.8048742,25249.538415613,25249.538415613,6263.16342621299,0,0,30662.899420943,23508.2228893896,0,31512.701841826,59257.7813638892,0,0,0,59257.7813638892,0,
2,10000,0.04,0.01,CH_WB01,195003056,209662.6727,0.013,0.013,0.03,0,0,0.0292870310535458,0,43096.5976054442,0,0,0,43096.5976054442,17658299.6862947,17635388.9658227,18210.0582934838,18210.0582934838,4700.66217886443,0,0,22037.6074443763,16895.4990406885,0,22910.7204723482,43096.5976054442,0,0,0,43096.5976054442,0,
3,10000,0.04,0.01,CH_WB01,195003057,476525.4091,0.013,0.013,0.03,0,0,0.0274360941847761,0,94718.2240494292,0,0,0,94718.2240494292,41427860.7201984,41376206.405838,42789.6910135462,42789.6910135462,8864.62335163282,0,0,51701.6364943285,39637.9213123185,0,51654.314365179,94718.2240494292,0,0,0,94718.2240494292,0,
4,10000,0.04,0.01,CH_WB01,195003060,95298.32142,0.013,0.013,0.03,0,0,0.029409487882567,0,22234.4208792893,0,0,0,22234.4208792893,9072346.02713468,9060325.70930058,9410.30377606077,9410.30377606077,2610.01405982091,0,0,11321.7257095692,8679.98971066969,0,12020.3178358817,22234.4208792893,0,0,0,22234.4208792893,0,
5,10000,0.04,0.01,CH_WB01,195003063,190605.3332,0.013,0.013,0.03,0,0,0.0294347799120066,0,35441.508037024,0,0,0,35441.508037024,14448828.8248015,14430190.4778826,14816.7323602023,14816.7323602023,3821.61456169748,0,0,18032.4323251213,13824.864782593,0,18638.3469218998,35441.508037024,0,0,0,35441.508037024,0,
6,10000,0.04,0.01,CH_WB01,195003066,28579.01174,0.013,0.013,0.03,0,0,0.0302916069207754,0,10532.2146752059,0,0,0,10532.2146752059,4172329.86130523,4164653.1996911,4394.65727641421,4394.65727641421,3282.00433893261,0,0,5202.81006328784,3988.82104852067,0,7676.66161534682,10532.2146752059,0,0,0,10532.2146752059,0,
7,10000,0.04,0.01,CH_WB01,195003069,142953.3989,0.013,0.013,0.03,0,0,0.028418698510389,0,35374.35278403,0,0,0,35374.35278403,14937075.0829134,14918105.5920698,15554.7074398261,15554.7074398261,3414.78340228054,0,0,18640.4618021693,14291.0207149964,0,18969.4908421067,35374.35278403,0,0,0,35374.35278403,0,
8,10000,0.04,0.01,CH_WB01,195003070,51020.2775,0.013,0.013,0.03,0,0,0.0289400480222371,0,9700.72785748352,0,0,0,9700.72785748352,4022409.85226962,4017250.7008074,4133.79498579161,4133.79498579161,1025.35647600514,0,0,5020.04727382472,3848.70290993228,0,5159.15146179675,9700.72785748352,0,0,0,9700.72785748352,0,
9,10000,0.04,0.01,CH_WB01,195003072,107635.0871,0.013,0.013,0.03,0,0,0.029362378332369,0,23065.9803431646,0,0,0,23065.9803431646,9426748.77984395,9414439.65991589,9740.12990732766,9740.12990732766,2568.99001786689,0,0,11764.4612395549,9019.42028365879,0,12309.1199251945,23065.9803431646,0,0,0,23065.9803431646,0,
10,10000,0.04,0.01,CH_WB01,195003073,371680.4031,0.013,0.013,0.03,0,0,0.029440047791568,0,69121.5707195985,0,0,0,69121.5707195985,28174507.5452205,28138163.490158,28891.855073984,28891.855073984,7452.19999376467,0,0,35162.3587802258,26957.8083981731,0,36344.0550677487,69121.5707195985,0,0,0,69121.5707195985,0,
