Position in the file,Number of scenarios,Hull White alpha,Hull White sigma,Prod Code Key,Policy id,beginning account value ,RRC TOT rate,Guarantee fees rate,Fixed fees rate,Ongoing commissions rate,Tail commissions rate,EHC (internal) rate,EHC (New-Re) rate,PV Claims WB,PV Claims DB,PV Claims AB,PV Claims IB,PV Claims TOT,PV AV (Internal),PV AV (New-Re),PV RRC TOT Charges,PV Guarantee fees Charges,PV Fixed fees Charges,PV Ongoing commissions Charges,PV Tail commissions Charges,PV Fund fees Charges,PV Retrocessions Charges,PV Expenses Charges,PV Real Charges,PV EHC(internal) Charges,PV EHC(New-Re) Charges,PV Lapse Charges,LOV(Internal),LOV(New-Re),ITM,
1,10000,0.04,0.01,CH_WB01,195003044,311639.7263,0.013,0.013,0.03,0,0,0.0289053446578457,0,59178.6406330277,0,0,0,59178.6406330277,24567902.4416538,24536392.0001121,25248.0888451236,25248.0888451236,6262.35269383841,0,0,30661.1869027033,23506.9099587392,0,31510.441538962,59178.6406330277,0,0,0,59178.6406330277,0,
2,10000,0.04,0.01,CH_WB01,195003056,209662.6727,0.013,0.013,0.03,0,0,0.0292514236347913,0,43041.8816216414,0,0,0,43041.8816216414,17657348.4391158,17634439.4040854,18209.0277757064,18209.0277757064,4700.00725351589,0,0,22036.3898584479,16894.5655581434,0,22909.0350292223,43041.8816216414,0,0,0,43041.8816216414,0,
3,10000,0.04,0.01,CH_WB01,195003057,476525.4091,0.013,0.013,0.03,0,0,0.0273860282312299,0,94537.8885286883,0,0,0,94537.8885286883,41424577.9915823,41372929.2876905,42786.1347242112,42786.1347242112,8862.56917147323,0,0,51697.4393578902,39634.7035077158,0,51648.7038956845,94537.8885286883,0,0,0,94537.8885286883,0,
4,10000,0.04,0.01,CH_WB01,195003060,95298.32142,0.013,0.013,0.03,0,0,0.0293734936069639,0,22205.8679810123,0,0,0,22205.8679810123,9071798.51800033,9059779.12444589,9409.71064116639,9409.71064116639,2609.68291481202,0,0,11321.0254130676,8679.45281668519,0,12019.3935559784,22205.8679810123,0,0,0,22205.8679810123,0,
5,10000,0.04,0.01,CH_WB01,195003063,190605.3332,0.013,0.013,0.03,0,0,0.0293996943963274,0,35397.4268957612,0,0,0,35397.4268957612,14448079.5284116,14429442.5026539,14815.9206224437,14815.9206224437,3821.10513655069,0,0,18031.4730195082,13824.1293149563,0,18637.0257589944,35397.4268957612,0,0,0,35397.4268957612,0,
6,10000,0.04,0.01,CH_WB01,195003066,28579.01174,0.013,0.013,0.03,0,0,0.0302316457423415,0,10508.0483427571,0,0,0,10508.0483427571,4171012.75887465,4163338.99034954,4393.23041544693,4393.23041544693,3280.53811046498,0,0,5201.14320290693,3987.54312222864,0,7673.76852591191,10508.0483427571,0,0,0,10508.0483427571,0,
7,10000,0.04,0.01,CH_WB01,195003069,142953.3989,0.013,0.013,0.03,0,0,0.0283668097671536,0,35306.6719129833,0,0,0,35306.6719129833,14935767.0613488,14916799.7540901,15553.2904164641,15553.2904164641,3414.01683992771,0,0,18638.7899836398,14289.7389874572,0,18967.3072563919,35306.6719129833,0,0,0,35306.6719129833,0,
8,10000,0.04,0.01,CH_WB01,195003070,51020.2775,0.013,0.013,0.03,0,0,0.028902970679472,0,9687.77185203353,0,0,0,9687.77185203353,4022190.7814815,4017032.0000722,4133.55765910455,4133.55765910455,1025.22374955169,0,0,5019.76689684963,3848.48795425138,0,5158.78140865625,9687.77185203353,0,0,0,9687.77185203353,0,
9,10000,0.04,0.01,CH_WB01,195003072,107635.0871,0.013,0.013,0.03,0,0,0.0293270072844636,0,23036.9256351433,0,0,0,23036.9256351433,9426229.71857647,9413921.51748935,9739.56759095512,9739.56759095512,2568.6334935737,0,0,11763.7969209009,9018.91097269071,0,12308.2010845288,23036.9256351433,0,0,0,23036.9256351433,0,
10,10000,0.04,0.01,CH_WB01,195003073,371680.4031,0.013,0.013,0.03,0,0,0.0294049589668367,0,69035.606523348,0,0,0,69035.606523348,28173046.56723,28136705.0857681,28890.2723478249,28890.2723478249,7451.20911863045,0,0,35160.4883217448,26956.3743800044,0,36341.4814664554,69035.606523348,0,0,0,69035.606523348,0,
11,10000,0.04,0.01,CH_WB01,195003074,78633.48984,0.013,0.013,0.03,0,0,0.0289034511376869,0,14931.2073828751,0,0,0,14931.2073828751,6199069.02262193,6191118.22135973,6370.69902784026,6370.69902784026,1580.10223295932,0,0,7736.55035186745,5931.35526976504,0,7950.80126079958,14931.2073828751,0,0,0,14931.2073828751,0,
12,10000,0.04,0.01,CH_WB01,195003075,288785.7896,0.013,0.013,0.03,0,0,0.0293499898706688,0,64565.6818857677,0,0,0,64565.6818857677,26398243.6124622,26363547.2494211,27331.2122718256,27331.2122718256,7365.15077252597,0,0,32944.055341139,25257.1090948732,0,34696.3630443516,64565.6818857677,0,0,0,64565.6818857677,0,
13,10000,0.04,0.01,CH_WB01,195003077,110703.8002,0.013,0.013,0.03,0,0,0.0293349033106346,0,22647.8090620225,0,0,0,22647.8090620225,9264516.9430555,9252483.91731079,9550.91276330995,9550.91276330995,2482.1129832669,0,0,11562.130759447,8864.30024890934,0,12033.0257465769,22647.8090620225,0,0,0,22647.8090620225,0,
14,10000,0.04,0.01,CH_WB01,195003078,24654.05519,0.013,0.013,0.03,0,0,0.0292916123208328,0,4595.33733603734,0,0,0,4595.33733603734,1882588.34742355,1880161.49844553,1931.30879054231,1931.30879054231,495.540187203845,0,0,2349.50396302334,1801.28637165123,0,2426.84897774616,4595.33733603734,0,0,0,4595.33733603734,0,
15,10000,0.04,0.01,CH_WB01,195003082,57759.1364,0.013,0.013,0.03,0,0,0.0293919247750886,0,10724.046282965,0,0,0,10724.046282965,4378364.34259832,4372716.59180287,4489.85295198167,4489.85295198167,1157.89784354442,0,0,5464.28040151519,4189.28164116165,0,5647.75079552609,10724.046282965,0,0,1.81898940354586e-012,10724.046282965,0,
16,10000,0.04,0.01,CH_WB01,195003083,531920.0717,0.013,0.013,0.03,0,0,0.028366732428417,0,131373.44973038,0,0,0,131373.44973038,55575008.5330687,55504432.4509458,57872.7584716588,57872.7584716588,12703.3236639875,0,0,69353.7136981571,53171.1805019204,0,70576.0821356463,131373.44973038,0,0,0,131373.44973038,0,
17,10000,0.04,0.01,CH_WB01,195003088,208036.1961,0.013,0.013,0.03,0,0,0.0293989265870132,0,38633.6553739539,0,0,0,38633.6553739539,15769414.6796584,15749073.2436196,16170.8946779672,16170.8946779672,4170.54136380396,0,0,19680.5239518368,15088.4016964082,0,20341.4360417712,38633.6553739539,0,0,0,38633.6553739539,0,
18,10000,0.04,0.01,CH_WB01,195003089,31413.62539,0.013,0.013,0.03,0,0,0.0288977477076964,0,5963.90537952166,0,0,0,5963.90537952166,2476555.10312312,2473378.77639872,2545.11596755006,2545.11596755006,631.210756380903,0,0,3090.78562675973,2369.60231384913,0,3176.32672393097,5963.90537952166,0,0,-9.09494701772928e-013,5963.90537952166,0,
19,10000,0.04,0.01,CH_WB01,195003091,52946.35109,0.013,0.013,0.03,0,0,0.0289053433899339,0,10054.2154912942,0,0,0,10054.2154912942,4173989.01884506,4168635.52055558,4289.54946374887,4289.54946374887,1063.94882542066,0,0,5209.2138413856,3993.73061172896,0,5353.49828916954,10054.2154912942,0,0,0,10054.2154912942,0,
20,10000,0.04,0.01,CH_WB01,195003092,209665.8599,0.013,0.013,0.03,0,0,0.028905351352749,0,39814.3819305562,0,0,0,39814.3819305562,16528862.677922,16507662.9829163,16986.4913344185,16986.4913344185,4213.20366937549,0,0,20628.3197648159,15815.0451530256,0,21199.695003794,39814.3819305562,0,0,0,39814.3819305562,0,
