ID;;;;;;TITRE;FLAG;;;;;
1;10000;images/Synopsis/10000_Synopsis.txt;2008;105 000 000 USD;Warner Bros. France;10000;YES;;images/IMAGESJPEG_600_800/10000.jpg;images/IMAGESPNG_100_100/10000.png;12 mars 2008 (1h49min);Roland Emmerich
2;1984;images/Synopsis/1984_Synopsis.txt;2012;;-;1984;YES;;images/IMAGESJPEG_600_800/1984.jpg;images/IMAGESPNG_100_100/1984.png;prochainement;
3;301+La+Legende+De+Superplus+Maximus;images/Synopsis/301+La+Legende+De+Superplus+Maximus_Synopsis.txt;2010;-;-;301 La Legende De Superplus Maximus;YES;;images/IMAGESJPEG_600_800/301+La+Legende+De+Superplus+Maximus.jpg;images/IMAGESPNG_100_100/301+La+Legende+De+Superplus+Maximus.png;inconnue (1h27min);Jeff Kanew
4;30+jours+de+nuit;images/Synopsis/30+jours+de+nuit_Synopsis.txt;2007;32 000 000 USD;SND;30 jours de nuit;#N/A;4 nominations;images/IMAGESJPEG_600_800/30+jours+de+nuit.jpg;images/IMAGESPNG_100_100/30+jours+de+nuit.png;9 janvier 2008 (1h45min);David Slade
5;30+minutes+maximum;images/Synopsis/30+minutes+maximum_Synopsis.txt;2011;28 000 000 USD;Sony Pictures Releasing France;30 minutes maximum;YES;;images/IMAGESJPEG_600_800/30+minutes+maximum.jpg;images/IMAGESPNG_100_100/30+minutes+maximum.png;28 decembre 2011 (1h23min);Ruben Fleischer
6;4+mariages+&+1+enterrement;images/Synopsis/4+mariages+&+1+enterrement_Synopsis.txt;2012;;Mars Distribution;4 mariages & 1 enterrement;#N/A;;images/IMAGESJPEG_600_800/4+mariages+&+1+enterrement.jpg;images/IMAGESPNG_100_100/4+mariages+&+1+enterrement.png;2 octobre 2013 (1h32min);Alexandre Coffre
7;$5+a+Day;images/Synopsis/$5+a+Day_Synopsis.txt;2008;-;-;$5 a Day;YES;;images/IMAGESJPEG_600_800/$5+a+Day.jpg;images/IMAGESPNG_100_100/$5+a+Day.png;23 novembre 2010 - en DVD (1h38min);Nigel Cole
8;7+ans+de+seduction;images/Synopsis/7+ans+de+seduction_Synopsis.txt;2004;US$ 30 000 000;SND;7 ans de seduction;YES;;images/IMAGESJPEG_600_800/7+ans+de+seduction.jpg;images/IMAGESPNG_100_100/7+ans+de+seduction.png;10 aout 2005 (1h47min);Nigel Cole
9;88+minutes;images/Synopsis/88+minutes_Synopsis.txt;2007;30 000 000 USD;Metropolitan FilmExport;88 minutes;YES;1 nomination;images/IMAGESJPEG_600_800/88+minutes.jpg;images/IMAGESPNG_100_100/88+minutes.png;30 mai 2007 (1h50min);Jon Avnet
10;A+Cinderella+Story;images/Synopsis/A+Cinderella+Story_Synopsis.txt;2003;-;-;A Cinderella Story;YES;1 nomination;images/IMAGESJPEG_600_800/A+Cinderella+Story.jpg;images/IMAGESPNG_100_100/A+Cinderella+Story.png; 3 octobre 2012 - en DVD (1h34min);Mark Rosman
